# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
ajayaryafitness  # yt:yt_UCNE8P_bwrTc832jKEsUrDfA
kushiyagiramya  # yt:yt_UCmoxu62r5ormvzlgBCzKkUQ
maisamayhoon  # yt:yt_UCAov2BBv1ZJav0c_yHEciAw
ayusheekar  # yt:yt_UCjBtu-Ty7gOrJtiJ2PM3vGg
sharonverma  # yt:yt_UCbFGS5NZB0iI4eDIT_82t6Q
freefireindiaofficial  # yt:yt_UC4AB0_ectRryjCF_ugD0U8w
evkurradu  # yt:yt_UCpvKHzddP4jZx8rc9EfMa4g
sainithintech  # yt:yt_UCqZxg3m8lhp6zFtvlIK9Osw
drshashikantyoga  # yt:yt_UC2EvkzoyIIXF0FErGsy7ZYA
mohammedbinishaq  # yt:yt_UC7N1oPH2zBsjabAxv4b1iMA
cooking.shooking  # yt:yt_UCTbNOCtAGaqOEnLMeo3JTeg
megafurniturehyderabad  # yt:yt_UCXzhiA99XbvQtLAhOkT0-2A
itskrishnamohan  # yt:yt_UCePU2EXA5Fj7_ek73FpH5-w
tukaiclicks  # yt:yt_UC8Dy1uw-i84teVeVyaJnfAg
sistechbanna  # yt:yt_UCPVtQqx3lnwwU4PTj73Ovjw
hfm_club  # yt:yt_UCd8t2koYD7ImALTuYIpokoQ
nammakannadadm  # yt:yt_UCwiyU17jXdsbzczTnHF4ylg
cricket.cardio  # yt:yt_UCDKld-eQhipWTywkyjVsv8g
unleashed_umesh  # yt:yt_UCXkJR31VW2_cKuk9oedeZxw
fun._factory._  # yt:yt_UCowxxyTWlyyepwu7L9epBMg
prime9news  # yt:yt_UCLTZ5y21NnklrxpU5AfWd8w
tripateindia  # yt:yt_UCWKAAgM5L7bExQJkPZIbiaw
thinkandhra  # yt:yt_UCLwZF2qkrtAa3rFgcXEKddg
samrat_silk_and_sarees  # yt:yt_UCy7sT8nmcmLG1hvkBE8Drzw
agnittt  # yt:yt_UCu6eDhSb-UJq7_vLgKe4vHw
deepakchopu  # yt:yt_UCe8LEbNgstPhJVfL86iWP6g
chaibisket  # yt:yt_UCznAVGW0rciFfbJzDkgBybg
jeet_selal  # yt:yt_UCg5LjzSV0GqSjXJXERkW1FA
redchilliesent  # yt:yt_UCjJKg01HAP01xCLVhDmnLhw
jokerkihaveli  # yt:yt_UCXFWPJ2dnOryABAOSoMzbxA
kavyatheblogger  # yt:yt_UCeEMu3K2ftWqySianC8bRvQ
shortleft_travels  # yt:yt_UCI6xvNzgDXCYX4_a5xWzGcQ
rachitrojha  # yt:yt_UCwBlZvRTu3vasTWUE9U5wPw
ma.suit  # yt:yt_UCsrClWl0H-5KRUzf6WyEEcw
